nid,Personality_N,Personality_E,Personality_O,Personality_A,Personality_C
s303052,34.0,32.0,33.0,37.0,34.0
s303053,35.0,36.0,35.0,33.0,36.0
s303075,33.0,37.0,33.0,42.0,39.0
s303077,27.0,38.0,24.0,41.0,34.0
s303078,33.0,34.0,31.0,30.0,39.0
s303116,19.0,36.0,31.0,37.0,36.0
s303016,19.0,40.0,29.0,41.0,42.0
s304053,15.0,39.0,22.0,37.0,46.0
s304023,,32.0,28.0,31.0,34.0
s304009,20.0,40.0,40.0,40.0,43.0
s304046,21.0,32.0,29.0,35.0,41.0
s304018,41.0,32.0,27.0,37.0,40.0
s304065,29.0,38.0,34.0,37.0,45.0
s304026,35.0,33.0,31.0,36.0,42.0
s304027,34.0,34.0,29.0,44.0,45.0
s308025,27.0,33.0,28.0,35.0,35.0
s303001,25.0,32.0,33.0,39.0,43.0
s303002,25.0,34.0,33.0,32.0,37.0
s305072,21.0,38.0,36.0,34.0,45.0
s305036,31.0,34.0,29.0,38.0,41.0
s305076,24.0,37.0,29.0,41.0,36.0
s303024,24.0,37.0,26.0,36.0,38.0
s305097,,34.0,33.0,38.0,40.0
s305070,30.0,34.0,23.0,32.0,42.0
s305073,33.0,41.0,26.0,41.0,45.0
s304011,34.0,33.0,26.0,28.0,33.0
s304010,24.0,36.0,31.0,41.0,38.0
s305047,32.0,30.0,29.0,24.0,35.0
s305046,29.0,31.0,32.0,35.0,33.0
s310032,22.0,34.0,31.0,39.0,39.0
s310029,23.0,30.0,29.0,35.0,39.0
s303005,18.0,31.0,33.0,41.0,37.0
s303042,39.0,33.0,33.0,31.0,35.0
s303074,37.0,35.0,30.0,31.0,35.0
s303071,30.0,35.0,30.0,33.0,32.0
s309012,21.0,36.0,29.0,38.0,37.0
s309019,37.0,31.0,33.0,36.0,38.0
s309045,33.0,37.0,29.0,37.0,38.0
s309017,25.0,30.0,35.0,36.0,42.0
s309018,34.0,29.0,27.0,39.0,36.0
s309029,32.0,33.0,35.0,44.0,37.0
s303038,22.0,41.0,31.0,39.0,39.0
s304031,44.0,29.0,26.0,27.0,35.0
s305042,36.0,32.0,32.0,33.0,32.0
s305011,29.0,33.0,27.0,43.0,40.0
s305004,18.0,42.0,38.0,45.0,48.0
s303083,25.0,41.0,31.0,36.0,43.0
s310005,27.0,32.0,28.0,33.0,35.0
s310021,24.0,37.0,34.0,36.0,39.0
s305029,27.0,37.0,33.0,35.0,47.0
s303025,24.0,34.0,27.0,37.0,38.0
s303028,22.0,38.0,27.0,38.0,41.0
s303069,33.0,30.0,27.0,29.0,41.0
s303070,30.0,31.0,34.0,37.0,33.0
s310009,28.0,35.0,28.0,37.0,40.0
s308020,33.0,42.0,25.0,36.0,48.0
s308034,32.0,36.0,35.0,43.0,38.0
s308005,26.0,20.0,24.0,24.0,29.0
s308017,31.0,27.0,30.0,36.0,32.0
s308028,29.0,32.0,32.0,35.0,39.0
s308032,26.0,34.0,28.0,35.0,36.0
s309036,34.0,27.0,35.0,29.0,45.0
s304005,29.0,35.0,36.0,31.0,42.0
s304019,31.0,37.0,32.0,38.0,36.0
